Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1097728,700574,469011,TODO,28,212,0.303992,0.544368,0.618362,0.788061,131692,300543,81277,80827,60594,0.000462092
OCS cache with random liberal replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1306624,822629,469011,TODO,64,191,0.336415,0.394866,0.489971,0.762905,135597,247813,141148,77015,161363,0.000396621
OCS cache with clock replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1363968,1040444,469011,TODO,61,211,0.534678,0.350486,0.250835,0.787197,139540,287060,416763,77601,169640,0.000359585
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,962560,1002516,0,TODO,0,235,0,0.998217,0,0.820027,0,820625,0,180104,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,962560,1002516,0,TODO,0,235,0,0.998289,0,0.827162,0,827825,0,172976,0,0
