Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_full_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1069056,697407,470071,TODO,25,211,0.302278,0.547019,0.619972,0.78655,130697,300065,80114,81430,60880,0.000410644
OCS cache with random liberal replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_full_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1314816,818851,470071,TODO,65,191,0.336051,0.397638,0.488625,0.76326,134458,248522,140718,77084,161863,0.000401574
OCS cache with clock replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_full_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1343488,1028847,470071,TODO,59,210,0.539868,0.354981,0.254777,0.786097,141514,287099,413928,78122,170152,0.000346749
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_full_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,962560,1004036,0,TODO,0,235,0,0.997337,0,0.817048,0,818161,0,183201,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_full_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,962560,1004036,0,TODO,0,235,0,0.997278,0,0.824203,0,825277,0,176026,0,0
