Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with conservative clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1060864,1157576,471083,TODO,24,211,0.174757,0.330234,0.643115,0.787245,130099,300941,72196,81330,61023,0.000393294
OCS cache with liberal clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1314816,1289682,471083,TODO,65,191,0.215347,0.252939,0.484656,0.762577,134603,248761,143126,77450,162492,0.00040002
OCS cache with conservative clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1093632,1178024,471083,TODO,28,211,0.188669,0.32219,0.590231,0.792563,131183,300815,91074,78732,60975,0.000459205
OCS cache with liberal clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1314816,1289687,471083,TODO,65,191,0.218216,0.25276,0.49698,0.76841,139865,250487,141565,75494,162477,0.000400057
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,921600,1000294,471083,TODO,0,225,0,0.528871,0,0.76983,0,407260,0,121766,0,0
Pure Far-Memory Cache with clock replacement,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,921600,1000294,471083,TODO,0,225,0,0.528876,0,0.779945,0,412615,0,116416,0,0
