Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with conservative clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_range_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,0,1000000,1000000,TODO,0,0,0,0,0,0,0,0,0,0,0,0
OCS cache with liberal clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_range_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,0,1000000,1000000,TODO,0,0,0,0,0,0,0,0,0,0,0,0
OCS cache with conservative clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_range_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,0,1000000,1000000,TODO,0,0,0,0,0,0,0,0,0,0,0,0
OCS cache with liberal clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_range_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,0,1000000,1000000,TODO,0,0,0,0,0,0,0,0,0,0,0,0
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_range_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,0,1000000,1000000,TODO,0,0,0,0,0,0,0,0,0,0,0,0
Pure Far-Memory Cache with clock replacement,/tmp/db-ubmark-trace/query_range_scan_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,0,1000000,1000000,TODO,0,0,0,0,0,0,0,0,0,0,0,0
