Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with conservative clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1097728,1168167,469011,TODO,28,212,0.181662,0.326726,0.616759,0.787838,130883,300694,81328,80976,60543,0.000462481
OCS cache with liberal clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1306624,1291635,469011,TODO,64,191,0.214202,0.251375,0.488613,0.762487,135185,247568,141486,77117,161242,0.000396919
OCS cache with conservative clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1114112,1184109,469011,TODO,30,212,0.191944,0.319335,0.585526,0.793585,133080,300076,94203,78051,60453,0.000496253
OCS cache with liberal clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,1306624,1291645,469011,TODO,64,191,0.217016,0.251222,0.501761,0.769626,140647,249736,139660,74754,161291,0.000396798
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,929792,1000299,469011,TODO,0,227,0,0.530943,0,0.771441,0,409714,0,121388,0,0
Pure Far-Memory Cache with clock replacement,/tmp/db-ubmark-trace/query_cross_join_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,929792,1000299,469011,TODO,0,227,0,0.530946,0,0.782278,0,415472,0,115633,0,0
