Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with conservative clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1060864,1162725,471054,TODO,24,211,0.175095,0.327655,0.638508,0.786247,129992,299539,73595,81434,61073,0.000392972
OCS cache with liberal clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1314816,1289705,471054,TODO,65,191,0.215456,0.252894,0.484092,0.762662,134517,248749,143358,77410,162433,0.000400165
OCS cache with conservative clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1093632,1178034,471054,TODO,28,211,0.188687,0.322195,0.59022,0.792669,131194,300863,91086,78694,60982,0.000459152
OCS cache with liberal clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1314816,1289706,471054,TODO,65,191,0.218238,0.252761,0.496968,0.768531,139878,250531,141585,75456,162484,0.000400039
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,921600,1000294,471054,TODO,0,225,0,0.528904,0,0.769744,0,407240,0,121819,0,0
Pure Far-Memory Cache with clock replacement,/tmp/db-ubmark-trace/query_equijoin_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,921600,1000294,471054,TODO,0,225,0,0.528905,0,0.779961,0,412646,0,116414,0,0
