Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_sort_order_by_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with random liberal replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_sort_order_by_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with clock replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_sort_order_by_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_sort_order_by_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,974848,1003834,0,TODO,0,238,0,0.998187,0,0.818614,0,820263,0,181751,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/db-ubmark-trace/query_sort_order_by_scale_1_rngseed_0_catalog_sales_ubmark_1000_n2-standard-16.csv,974848,1003834,0,TODO,0,238,0,0.998338,0,0.827339,0,829131,0,173035,0,0
