Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with conservative clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_distinct_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1052672,1142812,470917,TODO,23,211,0.173847,0.339803,0.687015,0.789316,136492,306516,62182,81815,61219,0.0003757
OCS cache with liberal clustering and random replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_distinct_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1323008,1290762,470917,TODO,66,191,0.216361,0.252753,0.482055,0.762675,134624,248818,144647,77426,162658,0.000405759
OCS cache with conservative clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_distinct_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1093632,1178012,470917,TODO,28,211,0.188754,0.322211,0.590173,0.792467,131228,300795,91127,78773,61048,0.000458655
OCS cache with liberal clustering and clock replacement for both NFM and backing stores,/tmp/db-ubmark-trace/query_distinct_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,1314816,1289604,470917,TODO,65,191,0.218276,0.252819,0.496989,0.768265,139897,250482,141592,75554,162609,0.000399732
Pure Far-Memory Cache with random replacement,/tmp/db-ubmark-trace/query_distinct_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,921600,1000294,470917,TODO,0,225,0,0.529025,0,0.768784,0,406826,0,122355,0,0
Pure Far-Memory Cache with clock replacement,/tmp/db-ubmark-trace/query_distinct_scale_1_rngseed_0_catalog_sales_ubmark_10000_n2-standard-16.csv,921600,1000294,470917,TODO,0,225,0,0.529041,0,0.779808,0,412672,0,116525,0,0
