Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_6_scale_1_rngseed_0_n2-standard-16.csv,1708032,727537,461320,TODO,25,367,0.253613,0.565156,0.36702,0.807981,67720,332219,116793,78953,58626,0.000426432
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_6_scale_1_rngseed_0_n2-standard-16.csv,2166784,786052,461320,TODO,107,315,0.309607,0.445389,0.518941,0.781379,126293,273560,117074,76539,169386,0.000631693
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_6_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169864,461320,TODO,63,364,0.530478,0.350764,0.129108,0.811842,80123,333136,540464,77210,174013,0.000362042
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_6_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001544,0,TODO,0,390,0,0.999298,0,0.832528,0,833228,0,167613,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_6_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001544,0,TODO,0,390,0,0.999421,0,0.840944,0,841755,0,159209,0,0
