Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_57_scale_1_rngseed_0_n2-standard-16.csv,700416,74048,926336,TODO,5,161,0.00506428,0.994814,0.981333,0.896788,368,66061,7,7603,4202,0.00118991
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_57_scale_1_rngseed_0_n2-standard-16.csv,897024,111133,926336,TODO,45,129,0.375487,0.360676,0.728294,0.833121,30391,33394,11338,6689,18712,0.00240487
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_57_scale_1_rngseed_0_n2-standard-16.csv,708608,75213,926336,TODO,7,159,0.0328135,0.966974,0.994733,0.898637,2455,65357,13,7372,19321,0.0003623
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_57_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000386,0,TODO,0,390,0,0.999824,0,0.833955,0,834130,0,166080,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_57_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000386,0,TODO,0,390,0,0.999828,0,0.841737,0,841917,0,158297,0,0
