Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_73_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_73_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_73_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_73_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000313,0,TODO,0,390,0,0.999826,0,0.833828,0,833944,0,166195,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_73_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000313,0,TODO,0,390,0,0.999851,0,0.841744,0,841882,0,158282,0,0
