Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_27_scale_1_rngseed_0_n2-standard-16.csv,1708032,727512,461293,TODO,25,367,0.2535,0.565275,0.366747,0.807995,67637,332283,116787,78961,58579,0.000426774
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_27_scale_1_rngseed_0_n2-standard-16.csv,2174976,786109,461293,TODO,108,315,0.309587,0.445456,0.518792,0.781433,126258,273640,117111,76537,169388,0.000637589
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_27_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169687,461293,TODO,63,364,0.530395,0.350866,0.129151,0.81177,80125,333153,540271,77250,174009,0.00036205
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_27_scale_1_rngseed_0_n2-standard-16.csv,1601536,1001530,0,TODO,0,391,0,0.998937,0,0.831851,0,832238,0,168227,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_27_scale_1_rngseed_0_n2-standard-16.csv,1601536,1001530,0,TODO,0,391,0,0.998977,0,0.840266,0,840690,0,159815,0,0
