Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_69_scale_1_rngseed_0_n2-standard-16.csv,1695744,727694,461532,TODO,25,364,0.25382,0.564524,0.366399,0.807744,67675,331822,117028,78979,58600,0.000426621
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_69_scale_1_rngseed_0_n2-standard-16.csv,2166784,786241,461532,TODO,108,313,0.3094,0.445343,0.516531,0.780247,125653,273201,117610,76946,169437,0.000637405
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_69_scale_1_rngseed_0_n2-standard-16.csv,1994752,1171980,461532,TODO,63,361,0.531439,0.349816,0.128724,0.811626,80174,332748,542662,77229,173992,0.000362086
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_69_scale_1_rngseed_0_n2-standard-16.csv,1585152,1001958,0,TODO,0,387,0,0.999039,0,0.831146,0,831973,0,169022,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_69_scale_1_rngseed_0_n2-standard-16.csv,1585152,1001958,0,TODO,0,387,0,0.999005,0,0.8393,0,840107,0,160854,0,0
