Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_72_scale_1_rngseed_0_n2-standard-16.csv,1708032,727405,461346,TODO,25,367,0.253446,0.565322,0.366841,0.808012,67630,332269,116728,78949,58560,0.000426913
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_72_scale_1_rngseed_0_n2-standard-16.csv,2158592,785843,461346,TODO,106,315,0.309432,0.445522,0.519314,0.781154,126279,273490,116886,76620,169326,0.000626011
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_72_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169382,461346,TODO,63,364,0.530319,0.350934,0.129192,0.811775,80118,333133,540027,77243,173999,0.000362071
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_72_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001725,0,TODO,0,390,0,0.999108,0,0.829988,0,830678,0,170153,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_72_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001725,0,TODO,0,390,0,0.999168,0,0.837389,0,838136,0,162756,0,0
