Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_8_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_8_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_8_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_8_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000314,0,TODO,0,391,0,0.999816,0,0.833204,0,833312,0,166818,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_8_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000314,0,TODO,0,391,0,0.999837,0,0.840766,0,840893,0,159258,0,0
