Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_87_scale_1_rngseed_0_n2-standard-16.csv,1007616,654402,534443,TODO,20,206,0.281698,0.516332,0.36516,0.788836,67315,266539,117029,71350,54472,0.000367161
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_87_scale_1_rngseed_0_n2-standard-16.csv,1269760,675961,534443,TODO,62,186,0.298732,0.459189,0.474241,0.77507,95764,240577,106167,69817,150838,0.000411037
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_87_scale_1_rngseed_0_n2-standard-16.csv,1298432,1097521,534443,TODO,56,205,0.565247,0.307967,0.125287,0.793012,77724,268038,542646,69962,154870,0.000361594
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_87_scale_1_rngseed_0_n2-standard-16.csv,1593344,1000400,0,TODO,0,389,0,0.99987,0,0.832111,0,832336,0,167934,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_87_scale_1_rngseed_0_n2-standard-16.csv,1593344,1000400,0,TODO,0,389,0,0.999888,0,0.84085,0,841092,0,159196,0,0
