Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_3_scale_1_rngseed_0_n2-standard-16.csv,1703936,727781,461422,TODO,25,366,0.253694,0.564589,0.366487,0.807842,67666,331940,116968,78957,58573,0.000426818
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_3_scale_1_rngseed_0_n2-standard-16.csv,2170880,786294,461422,TODO,108,314,0.309634,0.445232,0.516592,0.780501,125771,273240,117692,76843,169384,0.000637604
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_3_scale_1_rngseed_0_n2-standard-16.csv,2002944,1172068,461422,TODO,63,363,0.531379,0.349899,0.128721,0.811746,80169,332901,542643,77204,173995,0.000362079
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_3_scale_1_rngseed_0_n2-standard-16.csv,1589248,1004847,0,TODO,0,388,0,0.99718,0,0.826821,0,828485,0,173528,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_3_scale_1_rngseed_0_n2-standard-16.csv,1589248,1004847,0,TODO,0,388,0,0.997235,0,0.835923,0,837653,0,164416,0,0
