Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_38_scale_1_rngseed_0_n2-standard-16.csv,692224,73286,927098,TODO,5,159,0.00511694,0.99476,0.981333,0.897712,368,65445,7,7457,4119,0.00121389
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_38_scale_1_rngseed_0_n2-standard-16.csv,892928,110124,927098,TODO,45,128,0.375858,0.359867,0.728153,0.834267,30139,33062,11252,6568,18516,0.00243033
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_38_scale_1_rngseed_0_n2-standard-16.csv,700416,74449,927098,TODO,7,157,0.0330965,0.966689,0.994724,0.899526,2451,64738,13,7231,19089,0.000366703
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_38_scale_1_rngseed_0_n2-standard-16.csv,1589248,1001068,0,TODO,0,388,0,0.999345,0,0.83115,0,831492,0,168920,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_38_scale_1_rngseed_0_n2-standard-16.csv,1589248,1001068,0,TODO,0,388,0,0.999642,0,0.838887,0,839483,0,161227,0,0
