Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_75_scale_1_rngseed_0_n2-standard-16.csv,1708032,727500,461301,TODO,25,367,0.253474,0.565247,0.366807,0.807909,67640,332226,116762,78991,58579,0.000426774
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_75_scale_1_rngseed_0_n2-standard-16.csv,2158592,785971,461301,TODO,106,315,0.309402,0.44543,0.518984,0.781225,126207,273503,116974,76592,169334,0.000625982
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_75_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169679,461301,TODO,63,364,0.530399,0.350861,0.129151,0.811774,80125,333148,540271,77247,174008,0.000362052
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_75_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000311,0,TODO,0,390,0,0.999835,0,0.833771,0,833893,0,166253,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_75_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000311,0,TODO,0,390,0,0.999855,0,0.84197,0,842110,0,158056,0,0
