Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_71_scale_1_rngseed_0_n2-standard-16.csv,1007616,653417,535004,TODO,20,206,0.281672,0.516566,0.365495,0.788933,67269,266291,116780,71242,54371,0.000367843
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_71_scale_1_rngseed_0_n2-standard-16.csv,1286144,676053,535004,TODO,64,186,0.299908,0.45873,0.472558,0.775217,95813,240415,106941,69711,150671,0.000424767
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_71_scale_1_rngseed_0_n2-standard-16.csv,1298432,1094427,535004,TODO,56,205,0.564613,0.308497,0.125694,0.793088,77670,267768,540258,69859,154676,0.000362047
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_71_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000359,0,TODO,0,391,0,0.999801,0,0.833539,0,833672,0,166488,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_71_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000359,0,TODO,0,391,0,0.999822,0,0.841029,0,841181,0,159000,0,0
