Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_84_scale_1_rngseed_0_n2-standard-16.csv,1703936,727821,461404,TODO,25,366,0.253766,0.564573,0.366462,0.807896,67684,331971,117012,78937,58589,0.000426701
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_84_scale_1_rngseed_0_n2-standard-16.csv,2179072,787483,461404,TODO,109,314,0.310664,0.44462,0.515682,0.780725,126158,273356,118485,76775,169409,0.000643413
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_84_scale_1_rngseed_0_n2-standard-16.csv,2002944,1172107,461404,TODO,63,363,0.53138,0.349888,0.128726,0.811771,80175,332912,542659,77194,173999,0.000362071
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_84_scale_1_rngseed_0_n2-standard-16.csv,1589248,1002999,0,TODO,0,388,0,0.998047,0,0.826655,0,827515,0,173525,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_84_scale_1_rngseed_0_n2-standard-16.csv,1589248,1002999,0,TODO,0,388,0,0.99806,0,0.834445,0,835324,0,165729,0,0
