Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_66_scale_1_rngseed_0_n2-standard-16.csv,1703936,727915,461310,TODO,25,366,0.25374,0.564661,0.366419,0.807929,67678,332079,117023,78946,58578,0.000426781
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_66_scale_1_rngseed_0_n2-standard-16.csv,2179072,787577,461310,TODO,109,314,0.310705,0.444609,0.515803,0.780746,126219,273389,118485,76775,169423,0.00064336
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_66_scale_1_rngseed_0_n2-standard-16.csv,2002944,1172201,461310,TODO,63,363,0.531337,0.34994,0.128726,0.811814,80175,333006,542659,77194,174013,0.000362042
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_66_scale_1_rngseed_0_n2-standard-16.csv,1589248,1001422,0,TODO,0,388,0,0.999066,0,0.831993,0,832398,0,168089,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_66_scale_1_rngseed_0_n2-standard-16.csv,1589248,1001422,0,TODO,0,388,0,0.998948,0,0.839568,0,839878,0,160491,0,0
