Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_94_scale_1_rngseed_0_n2-standard-16.csv,1007616,653416,535005,TODO,20,206,0.281672,0.516565,0.365495,0.788933,67269,266290,116780,71242,54371,0.000367843
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_94_scale_1_rngseed_0_n2-standard-16.csv,1286144,676052,535005,TODO,64,186,0.299909,0.45873,0.472558,0.775216,95813,240414,106941,69711,150671,0.000424767
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_94_scale_1_rngseed_0_n2-standard-16.csv,1298432,1094426,535005,TODO,56,205,0.564614,0.308496,0.125694,0.793088,77670,267767,540258,69859,154676,0.000362047
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_94_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001824,0,TODO,0,390,0,0.998775,0,0.831474,0,831970,0,168627,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_94_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001824,0,TODO,0,390,0,0.998783,0,0.839762,0,840270,0,160335,0,0
