Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_88_scale_1_rngseed_0_n2-standard-16.csv,1708032,727981,461245,TODO,25,367,0.253703,0.564659,0.36645,0.807836,67680,332070,117011,78991,58609,0.000426556
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_88_scale_1_rngseed_0_n2-standard-16.csv,2174976,786507,461245,TODO,108,315,0.309602,0.445318,0.517729,0.781719,126069,273794,117435,76452,169395,0.000637563
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_88_scale_1_rngseed_0_n2-standard-16.csv,2007040,1172267,461245,TODO,63,364,0.531309,0.349974,0.128726,0.811706,80175,333013,542661,77250,174049,0.000361967
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_88_scale_1_rngseed_0_n2-standard-16.csv,1593344,1003062,0,TODO,0,389,0,0.998285,0,0.829371,0,830484,0,170858,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_88_scale_1_rngseed_0_n2-standard-16.csv,1593344,1003062,0,TODO,0,389,0,0.99828,0,0.837877,0,838997,0,162340,0,0
