Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_97_scale_1_rngseed_0_n2-standard-16.csv,1703936,727878,461352,TODO,25,366,0.253762,0.564625,0.366411,0.808155,67679,332134,117029,78844,58593,0.000426672
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_97_scale_1_rngseed_0_n2-standard-16.csv,2170880,786386,461352,TODO,108,314,0.30958,0.445272,0.516843,0.780147,125825,273173,117624,76983,169441,0.00063739
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_97_scale_1_rngseed_0_n2-standard-16.csv,2002944,1172160,461352,TODO,63,363,0.531357,0.349915,0.128726,0.811769,80175,332952,542661,77204,174009,0.00036205
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_97_scale_1_rngseed_0_n2-standard-16.csv,1585152,1001428,0,TODO,0,387,0,0.999091,0,0.831531,0,831962,0,168556,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_97_scale_1_rngseed_0_n2-standard-16.csv,1585152,1001428,0,TODO,0,387,0,0.998852,0,0.839801,0,840034,0,160244,0,0
