Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_21_scale_1_rngseed_0_n2-standard-16.csv,1708032,727443,461312,TODO,25,367,0.253456,0.565334,0.366823,0.808106,67633,332332,116742,78916,58577,0.000426789
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_21_scale_1_rngseed_0_n2-standard-16.csv,2174976,786048,461312,TODO,108,315,0.309444,0.445407,0.518751,0.782095,126180,273820,117058,76291,169295,0.00063794
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_21_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169417,461312,TODO,63,364,0.530304,0.350952,0.129195,0.811776,80120,333160,540027,77249,174001,0.000362067
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_21_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000375,0,TODO,0,390,0,0.999767,0,0.832669,0,832787,0,167355,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_21_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000375,0,TODO,0,390,0,0.999787,0,0.840258,0,840394,0,159768,0,0
