Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_85_scale_1_rngseed_0_n2-standard-16.csv,1007616,653503,534952,TODO,20,206,0.281486,0.516545,0.365905,0.789047,67309,266354,116643,71210,54395,0.000367681
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_85_scale_1_rngseed_0_n2-standard-16.csv,1286144,676091,534952,TODO,64,186,0.299656,0.458639,0.472628,0.77396,95752,239991,106843,70091,150673,0.000424761
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_85_scale_1_rngseed_0_n2-standard-16.csv,1298432,1104734,534952,TODO,56,205,0.568683,0.305623,0.12353,0.792997,77607,267741,550636,69891,154714,0.000361958
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_85_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000330,0,TODO,0,391,0,0.999822,0,0.832446,0,832573,0,167579,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_85_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000330,0,TODO,0,391,0,0.999848,0,0.840265,0,840415,0,159763,0,0
