Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_74_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_74_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_74_scale_1_rngseed_0_n2-standard-16.csv,0,0,1000000,TODO,0,0,-nan,-nan,0,0,0,0,0,0,0,0
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_74_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000319,0,TODO,0,391,0,0.999824,0,0.834502,0,834621,0,165522,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_74_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000319,0,TODO,0,391,0,0.999859,0,0.842011,0,842161,0,158017,0,0
