Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_13_scale_1_rngseed_0_n2-standard-16.csv,1708032,727548,461269,TODO,25,367,0.253325,0.565271,0.367243,0.808132,67685,332354,116621,78908,58586,0.000426723
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_13_scale_1_rngseed_0_n2-standard-16.csv,2166784,785959,461269,TODO,107,315,0.309455,0.44569,0.519232,0.782006,126287,273932,116932,76362,169379,0.000631719
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_13_scale_1_rngseed_0_n2-standard-16.csv,2007040,1179944,461269,TODO,63,364,0.534508,0.347809,0.126939,0.811742,80059,333135,550630,77260,174026,0.000362015
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_13_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000292,0,TODO,0,390,0,0.999841,0,0.832962,0,833073,0,167060,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_13_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000292,0,TODO,0,390,0,0.999866,0,0.841005,0,841138,0,159020,0,0
