Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_20_scale_1_rngseed_0_n2-standard-16.csv,1007616,654372,534469,TODO,20,206,0.281685,0.516323,0.365177,0.788704,67312,266477,117015,71390,54459,0.000367249
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_20_scale_1_rngseed_0_n2-standard-16.csv,1269760,675935,534469,TODO,62,186,0.298743,0.459168,0.474241,0.775051,95764,240551,106167,69817,150832,0.000411053
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_20_scale_1_rngseed_0_n2-standard-16.csv,1298432,1097495,534469,TODO,56,205,0.56526,0.30795,0.125287,0.792996,77724,268012,542646,69962,154864,0.000361608
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_20_scale_1_rngseed_0_n2-standard-16.csv,1589248,1001525,0,TODO,0,388,0,0.999232,0,0.830461,0,831089,0,169667,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_20_scale_1_rngseed_0_n2-standard-16.csv,1589248,1001525,0,TODO,0,388,0,0.999373,0,0.83871,0,839462,0,161435,0,0
