Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_34_scale_1_rngseed_0_n2-standard-16.csv,1007616,654396,534446,TODO,20,206,0.28166,0.516294,0.365208,0.788688,67314,266467,117003,71394,54469,0.000367181
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_34_scale_1_rngseed_0_n2-standard-16.csv,1269760,675971,534446,TODO,62,186,0.298736,0.459252,0.47448,0.774807,95815,240532,106122,69909,150840,0.000411032
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_34_scale_1_rngseed_0_n2-standard-16.csv,1298432,1097519,534446,TODO,56,205,0.565249,0.307963,0.125286,0.792979,77724,268023,542648,69972,154872,0.000361589
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_34_scale_1_rngseed_0_n2-standard-16.csv,1593344,1000359,0,TODO,0,389,0,0.999842,0,0.834223,0,834391,0,165810,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_34_scale_1_rngseed_0_n2-standard-16.csv,1593344,1000359,0,TODO,0,389,0,0.999889,0,0.84209,0,842299,0,157949,0,0
