Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_19_scale_1_rngseed_0_n2-standard-16.csv,700416,74046,926338,TODO,5,161,0.00506442,0.994814,0.981333,0.896785,368,66059,7,7603,4202,0.00118991
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_19_scale_1_rngseed_0_n2-standard-16.csv,897024,111125,926338,TODO,45,129,0.375496,0.360702,0.728329,0.833121,30391,33394,11336,6689,18712,0.00240487
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_19_scale_1_rngseed_0_n2-standard-16.csv,708608,75211,926338,TODO,7,159,0.0328143,0.966973,0.994733,0.898635,2455,65355,13,7372,19319,0.000362338
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_19_scale_1_rngseed_0_n2-standard-16.csv,1597440,1003504,0,TODO,0,390,0,0.998376,0,0.827314,0,828864,0,173010,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_19_scale_1_rngseed_0_n2-standard-16.csv,1597440,1003504,0,TODO,0,390,0,0.998505,0,0.836371,0,838047,0,163957,0,0
