Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_83_scale_1_rngseed_0_n2-standard-16.csv,1708032,727514,461287,TODO,25,367,0.253476,0.565287,0.366765,0.807897,67634,332251,116773,79003,58571,0.000426832
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_83_scale_1_rngseed_0_n2-standard-16.csv,2174976,786135,461287,TODO,108,315,0.309694,0.445281,0.518062,0.781378,126128,273522,117333,76529,169231,0.000638181
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_83_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169693,461287,TODO,63,364,0.530392,0.350869,0.129151,0.811766,80125,333156,540271,77253,174012,0.000362044
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_83_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000345,0,TODO,0,391,0,0.999823,0,0.83326,0,833400,0,166768,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_83_scale_1_rngseed_0_n2-standard-16.csv,1601536,1000345,0,TODO,0,391,0,0.999869,0,0.841067,0,841247,0,158967,0,0
