Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_37_scale_1_rngseed_0_n2-standard-16.csv,1007616,654374,534467,TODO,20,206,0.281684,0.516324,0.365177,0.788705,67312,266479,117015,71390,54458,0.000367255
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_37_scale_1_rngseed_0_n2-standard-16.csv,1269760,675937,534467,TODO,62,186,0.298742,0.45917,0.474241,0.775052,95764,240553,106167,69817,150838,0.000411037
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_37_scale_1_rngseed_0_n2-standard-16.csv,1298432,1097497,534467,TODO,56,205,0.565259,0.307952,0.125287,0.792997,77724,268014,542646,69962,154870,0.000361594
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_37_scale_1_rngseed_0_n2-standard-16.csv,1593344,1003005,0,TODO,0,389,0,0.998005,0,0.826308,0,827138,0,173866,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_37_scale_1_rngseed_0_n2-standard-16.csv,1593344,1003005,0,TODO,0,389,0,0.998057,0,0.834287,0,835168,0,165888,0,0
