Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_17_scale_1_rngseed_0_n2-standard-16.csv,696320,73502,926882,TODO,5,160,0.0051019,0.994776,0.981333,0.898,368,65660,7,7458,4119,0.00121389
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_17_scale_1_rngseed_0_n2-standard-16.csv,892928,110340,926882,TODO,45,128,0.376745,0.359906,0.729613,0.832897,30330,33076,11240,6636,18562,0.00242431
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_17_scale_1_rngseed_0_n2-standard-16.csv,704512,74665,926882,TODO,7,158,0.0330007,0.966785,0.994724,0.899813,2451,64953,13,7232,19143,0.000365669
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_17_scale_1_rngseed_0_n2-standard-16.csv,1597440,1006805,0,TODO,0,390,0,0.995575,0,0.824571,0,826509,0,175841,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_17_scale_1_rngseed_0_n2-standard-16.csv,1597440,1006805,0,TODO,0,390,0,0.995221,0,0.832464,0,834123,0,167870,0,0
