Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_96_scale_1_rngseed_0_n2-standard-16.csv,1708032,727462,461339,TODO,25,367,0.253494,0.565256,0.366765,0.807917,67634,332217,116773,78985,58560,0.000426913
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_96_scale_1_rngseed_0_n2-standard-16.csv,2174976,786060,461339,TODO,108,315,0.309534,0.445355,0.51861,0.782124,126184,273803,117128,76273,169281,0.000637992
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_96_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169641,461339,TODO,63,364,0.530416,0.35084,0.129151,0.811793,80125,333125,540271,77232,174000,0.000362069
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_96_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001573,0,TODO,0,390,0,0.999056,0,0.831906,0,832428,0,168200,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_96_scale_1_rngseed_0_n2-standard-16.csv,1597440,1001573,0,TODO,0,390,0,0.999089,0,0.840597,0,841153,0,159508,0,0
