Cache Name, Trace File, Total Off-Node Memory Usage, Total Accesses, DRAM Accesses, Overall latency, #NFM nodes, #Backing Store nodes, NFM Utilization, Backing Store Utilization, NFM Hit Rate, Backing Store Hit Rate, NFM hits, Backing Store hits, NFM Misses, Backing Store Misses, Cluster Candidates Created, Candidate Promotion Rate
OCS cache with random conservative replacement for both NFM and backing store,/tmp/tpcds-trace/query_60_scale_1_rngseed_0_n2-standard-16.csv,1708032,727456,461345,TODO,25,367,0.253489,0.56522,0.366807,0.807932,67640,332200,116762,78973,58571,0.000426832
OCS cache with random liberal replacement for both NFM and backing store,/tmp/tpcds-trace/query_60_scale_1_rngseed_0_n2-standard-16.csv,2174976,786023,461345,TODO,108,315,0.309551,0.445374,0.518659,0.78188,126197,273716,117117,76358,169299,0.000637925
OCS cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_60_scale_1_rngseed_0_n2-standard-16.csv,2007040,1169635,461345,TODO,63,364,0.530418,0.350837,0.129151,0.811793,80125,333120,540271,77231,173996,0.000362077
Pure Far-Memory Cache with random replacement,/tmp/tpcds-trace/query_60_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000458,0,TODO,0,390,0,0.999774,0,0.833419,0,833612,0,166620,0,0
Far Memory cache with clock replacement for both NFM and backing store,/tmp/tpcds-trace/query_60_scale_1_rngseed_0_n2-standard-16.csv,1597440,1000458,0,TODO,0,390,0,0.999819,0,0.841278,0,841511,0,158766,0,0
